type,cpu,ram,price
t4g.nano,2,0.5 GiB,$0.0052 per Hour
t4g.micro,2,1 GiB,$0.0104 per Hour
t4g.small,2,2 GiB,$0.0208 per Hour
t4g.medium,2,4 GiB,$0.0416 per Hour
t4g.large,2,8 GiB,$0.0832 per Hour
t4g.xlarge,4,16 GiB,$0.1664 per Hour
t4g.2xlarge,8,32 GiB,$0.3328 per Hour
t3.nano,2,0.5 GiB,$0.0065 per Hour
t3.micro,2,1 GiB,$0.013 per Hour
t3.small,2,2 GiB,$0.026 per Hour
t3.medium,2,4 GiB,$0.052 per Hour
t3.large,2,8 GiB,$0.104 per Hour
t3.xlarge,4,16 GiB,$0.208 per Hour
t3.2xlarge,8,32 GiB,$0.416 per Hour
t3a.nano,2,0.5 GiB,$0.0059 per Hour
t3a.micro,2,1 GiB,$0.0117 per Hour
t3a.small,2,2 GiB,$0.0234 per Hour
t3a.medium,2,4 GiB,$0.0468 per Hour
t3a.large,2,8 GiB,$0.0936 per Hour
t3a.xlarge,4,16 GiB,$0.1872 per Hour
t3a.2xlarge,8,32 GiB,$0.3744 per Hour
t2.nano,1,0.5 GiB,$0.0072 per Hour
t2.micro,1,1 GiB,$0.0144 per Hour
t2.small,1,2 GiB,$0.0288 per Hour
t2.medium,2,4 GiB,$0.0576 per Hour
t2.large,2,8 GiB,$0.1152 per Hour
t2.xlarge,4,16 GiB,$0.2304 per Hour
t2.2xlarge,8,32 GiB,$0.4608 per Hour
m6g.medium,1,4 GiB,$0.047 per Hour
m6g.large,2,8 GiB,$0.094 per Hour
m6g.xlarge,4,16 GiB,$0.188 per Hour
m6g.2xlarge,8,32 GiB,$0.376 per Hour
m6g.4xlarge,16,64 GiB,$0.752 per Hour
m6g.8xlarge,32,128 GiB,$1.504 per Hour
m6g.12xlarge,48,192 GiB,$2.256 per Hour
m6g.16xlarge,64,256 GiB,$3.008 per Hour
m6g.metal,64,256 GiB,$3.008 per Hour
m5.large,2,8 GiB,$0.118 per Hour
m5.xlarge,4,16 GiB,$0.236 per Hour
m5.2xlarge,8,32 GiB,$0.472 per Hour
m5.4xlarge,16,64 GiB,$0.944 per Hour
m5.8xlarge,32,128 GiB,$1.888 per Hour
m5.12xlarge,48,192 GiB,$2.832 per Hour
m5.16xlarge,64,256 GiB,$3.776 per Hour
m5.24xlarge,96,384 GiB,$5.664 per Hour
m5.metal,96,384 GiB,$5.664 per Hour
m5a.large,2,8 GiB,$0.106 per Hour
m5a.xlarge,4,16 GiB,$0.212 per Hour
m5a.2xlarge,8,32 GiB,$0.424 per Hour
m5a.4xlarge,16,64 GiB,$0.848 per Hour
m5a.8xlarge,32,128 GiB,$1.696 per Hour
m5a.12xlarge,48,192 GiB,$2.544 per Hour
m5a.16xlarge,64,256 GiB,$3.392 per Hour
m5a.24xlarge,96,384 GiB,$5.088 per Hour
m5ad.large,2,8 GiB,$0.127 per Hour
m5ad.xlarge,4,16 GiB,$0.254 per Hour
m5ad.2xlarge,8,32 GiB,$0.508 per Hour
m5ad.4xlarge,16,64 GiB,$1.016 per Hour
m5ad.8xlarge,32,128 GiB,$2.032 per Hour
m5ad.12xlarge,48,192 GiB,$3.048 per Hour
m5ad.16xlarge,64,256 GiB,$4.064 per Hour
m5ad.24xlarge,96,384 GiB,$6.096 per Hour
m5d.large,2,8 GiB,$0.139 per Hour
m5d.xlarge,4,16 GiB,$0.278 per Hour
m5d.2xlarge,8,32 GiB,$0.556 per Hour
m5d.4xlarge,16,64 GiB,$1.112 per Hour
m5d.8xlarge,32,128 GiB,$2.224 per Hour
m5d.12xlarge,48,192 GiB,$3.336 per Hour
m5d.16xlarge,64,256 GiB,$4.448 per Hour
m5d.24xlarge,96,384 GiB,$6.672 per Hour
m5d.metal,96,384 GiB,$6.672 per Hour
m4.large,2,8 GiB,$0.123 per Hour
m4.xlarge,4,16 GiB,$0.246 per Hour
m4.2xlarge,8,32 GiB,$0.492 per Hour
m4.4xlarge,16,64 GiB,$0.984 per Hour
m4.10xlarge,40,160 GiB,$2.46 per Hour
m4.16xlarge,64,256 GiB,$3.936 per Hour
c6g.medium,1,2 GiB,$0.0385 per Hour
c6g.large,2,4 GiB,$0.077 per Hour
c6g.xlarge,4,8 GiB,$0.154 per Hour
c6g.2xlarge,8,16 GiB,$0.308 per Hour
c6g.4xlarge,16,32 GiB,$0.616 per Hour
c6g.8xlarge,32,64 GiB,$1.232 per Hour
c6g.12xlarge,48,96 GiB,$1.848 per Hour
c6g.16xlarge,64,128 GiB,$2.464 per Hour
c6g.metal,64,128 GiB,$2.464 per Hour
c5.large,2,4 GiB,$0.096 per Hour
c5.xlarge,4,8 GiB,$0.192 per Hour
c5.2xlarge,8,16 GiB,$0.384 per Hour
c5.4xlarge,16,32 GiB,$0.768 per Hour
c5.9xlarge,36,72 GiB,$1.728 per Hour
c5.12xlarge,48,96 GiB,$2.304 per Hour
c5.18xlarge,72,144 GiB,$3.456 per Hour
c5.24xlarge,96,192 GiB,$4.608 per Hour
c5.metal,96,192 GiB,$4.608 per Hour
c5a.large,2,4 GiB,$0.086 per Hour
c5a.xlarge,4,8 GiB,$0.172 per Hour
c5a.2xlarge,8,16 GiB,$0.344 per Hour
c5a.4xlarge,16,32 GiB,$0.688 per Hour
c5a.8xlarge,32,64 GiB,$1.376 per Hour
c5a.12xlarge,48,96 GiB,$2.064 per Hour
c5a.16xlarge,64,128 GiB,$2.752 per Hour
c5a.24xlarge,96,192 GiB,$4.128 per Hour
c5d.large,2,4 GiB,$0.11 per Hour
c5d.xlarge,4,8 GiB,$0.22 per Hour
c5d.2xlarge,8,16 GiB,$0.44 per Hour
c5d.4xlarge,16,32 GiB,$0.88 per Hour
c5d.9xlarge,36,72 GiB,$1.98 per Hour
c5d.12xlarge,48,96 GiB,$2.64 per Hour
c5d.18xlarge,72,144 GiB,$3.96 per Hour
c5d.24xlarge,96,192 GiB,$5.28 per Hour
c5d.metal,96,192 GiB,$5.28 per Hour
c5n.large,2,5.25 GiB,$0.122 per Hour
c5n.xlarge,4,10.5 GiB,$0.244 per Hour
c5n.2xlarge,8,21 GiB,$0.488 per Hour
c5n.4xlarge,16,42 GiB,$0.976 per Hour
c5n.9xlarge,36,96 GiB,$2.196 per Hour
c5n.18xlarge,72,192 GiB,$4.392 per Hour
c5n.metal,72,192 GiB,$4.392 per Hour
c4.large,2,3.75 GiB,$0.114 per Hour
c4.xlarge,4,7.5 GiB,$0.227 per Hour
c4.2xlarge,8,15 GiB,$0.454 per Hour
c4.4xlarge,16,30 GiB,$0.907 per Hour
c4.8xlarge,36,60 GiB,$1.815 per Hour
p3.2xlarge,8,61 GiB,$4.234 per Hour
p3.8xlarge,32,244 GiB,$16.936 per Hour
p3.16xlarge,64,488 GiB,$33.872 per Hour
p2.xlarge,4,61 GiB,$1.465 per Hour
p2.8xlarge,32,488 GiB,$11.72 per Hour
p2.16xlarge,64,732 GiB,$23.44 per Hour
g4dn.xlarge,4,16 GiB,$0.647 per Hour
g4dn.2xlarge,8,32 GiB,$0.925 per Hour
g4dn.4xlarge,16,64 GiB,$1.481 per Hour
g4dn.8xlarge,32,128 GiB,$2.677 per Hour
g4dn.12xlarge,48,192 GiB,$4.812 per Hour
g4dn.16xlarge,64,256 GiB,$5.353 per Hour
g4dn.metal,96,384 GiB,$9.624 per Hour
g3.4xlarge,16,122 GiB,$1.42 per Hour
g3.8xlarge,32,244 GiB,$2.84 per Hour
g3.16xlarge,64,488 GiB,$5.68 per Hour
g3s.xlarge,4,30.5 GiB,$0.934 per Hour
x1.16xlarge,64,976 GiB,$9.671 per Hour
x1.32xlarge,128,"1,952 GiB",$19.341 per Hour
x1e.xlarge,4,122 GiB,$1.209 per Hour
x1e.2xlarge,8,244 GiB,$2.418 per Hour
x1e.4xlarge,16,488 GiB,$4.836 per Hour
x1e.8xlarge,32,976 GiB,$9.672 per Hour
x1e.16xlarge,64,"1,952 GiB",$19.344 per Hour
x1e.32xlarge,128,"3,904 GiB",$38.688 per Hour
r6g.medium,1,8 GiB,$0.061 per Hour
r6g.large,2,16 GiB,$0.122 per Hour
r6g.xlarge,4,32 GiB,$0.244 per Hour
r6g.2xlarge,8,64 GiB,$0.488 per Hour
r6g.4xlarge,16,128 GiB,$0.976 per Hour
r6g.8xlarge,32,256 GiB,$1.952 per Hour
r6g.12xlarge,48,384 GiB,$2.928 per Hour
r6g.16xlarge,64,512 GiB,$3.904 per Hour
r6g.metal,64,512 GiB,$3.904 per Hour
r5.large,2,16 GiB,$0.152 per Hour
r5.xlarge,4,32 GiB,$0.304 per Hour
r5.2xlarge,8,64 GiB,$0.608 per Hour
r5.4xlarge,16,128 GiB,$1.216 per Hour
r5.8xlarge,32,256 GiB,$2.432 per Hour
r5.12xlarge,48,384 GiB,$3.648 per Hour
r5.16xlarge,64,512 GiB,$4.864 per Hour
r5.24xlarge,96,768 GiB,$7.296 per Hour
r5.metal,96,768 GiB,$7.296 per Hour
r5a.large,2,16 GiB,$0.136 per Hour
r5a.xlarge,4,32 GiB,$0.272 per Hour
r5a.2xlarge,8,64 GiB,$0.544 per Hour
r5a.4xlarge,16,128 GiB,$1.088 per Hour
r5a.8xlarge,32,256 GiB,$2.176 per Hour
r5a.12xlarge,48,384 GiB,$3.264 per Hour
r5a.16xlarge,64,512 GiB,$4.352 per Hour
r5a.24xlarge,96,768 GiB,$6.528 per Hour
r5ad.large,2,16 GiB,$0.158 per Hour
r5ad.xlarge,4,32 GiB,$0.316 per Hour
r5ad.2xlarge,8,64 GiB,$0.632 per Hour
r5ad.4xlarge,16,128 GiB,$1.264 per Hour
r5ad.8xlarge,32,256 GiB,$2.528 per Hour
r5ad.12xlarge,48,384 GiB,$3.792 per Hour
