type,cpu,ram,price
a1.medium,1,2 GiB,$0.0255 per Hour
a1.large,2,4 GiB,$0.051 per Hour
a1.xlarge,4,8 GiB,$0.102 per Hour
a1.2xlarge,8,16 GiB,$0.204 per Hour
a1.4xlarge,16,32 GiB,$0.408 per Hour
a1.metal,16,32 GiB,$0.408 per Hour
t4g.nano,2,0.5 GiB,$0.0028 per Hour
t4g.micro,2,1 GiB,$0.0056 per Hour
t4g.small,2,2 GiB,$0.0112 per Hour
t4g.medium,2,4 GiB,$0.0224 per Hour
t4g.large,2,8 GiB,$0.0448 per Hour
t4g.xlarge,4,16 GiB,$0.0896 per Hour
t4g.2xlarge,8,32 GiB,$0.1792 per Hour
t3.nano,2,0.5 GiB,$0.0056 per Hour
t3.micro,2,1 GiB,$0.0112 per Hour
t3.small,2,2 GiB,$0.0224 per Hour
t3.medium,2,4 GiB,$0.0448 per Hour
t3.large,2,8 GiB,$0.0896 per Hour
t3.xlarge,4,16 GiB,$0.1792 per Hour
t3.2xlarge,8,32 GiB,$0.3584 per Hour
t3a.nano,2,0.5 GiB,$0.0031 per Hour
t3a.micro,2,1 GiB,$0.0062 per Hour
t3a.small,2,2 GiB,$0.0123 per Hour
t3a.medium,2,4 GiB,$0.0246 per Hour
t3a.large,2,8 GiB,$0.0493 per Hour
t3a.xlarge,4,16 GiB,$0.0986 per Hour
t3a.2xlarge,8,32 GiB,$0.1971 per Hour
t2.nano,1,0.5 GiB,$0.0062 per Hour
t2.micro,1,1 GiB,$0.0124 per Hour
t2.small,1,2 GiB,$0.0248 per Hour
t2.medium,2,4 GiB,$0.0496 per Hour
t2.large,2,8 GiB,$0.0992 per Hour
t2.xlarge,4,16 GiB,$0.1984 per Hour
t2.2xlarge,8,32 GiB,$0.3968 per Hour
m6g.medium,1,4 GiB,$0.0253 per Hour
m6g.large,2,8 GiB,$0.0506 per Hour
m6g.xlarge,4,16 GiB,$0.1012 per Hour
