type,cpu,ram,price
a1.medium,1,2 GiB,$0.0333 per Hour
a1.large,2,4 GiB,$0.0666 per Hour
a1.xlarge,4,8 GiB,$0.1332 per Hour
a1.2xlarge,8,16 GiB,$0.2664 per Hour
a1.4xlarge,16,32 GiB,$0.5328 per Hour
a1.metal,16,32 GiB,$0.533 per Hour
t4g.nano,2,0.5 GiB,$0.0053 per Hour
t4g.micro,2,1 GiB,$0.0106 per Hour
t4g.small,2,2 GiB,$0.0212 per Hour
t4g.medium,2,4 GiB,$0.0424 per Hour
t4g.large,2,8 GiB,$0.0848 per Hour
t4g.xlarge,4,16 GiB,$0.1696 per Hour
t4g.2xlarge,8,32 GiB,$0.3392 per Hour
t3.nano,2,0.5 GiB,$0.0066 per Hour
t3.micro,2,1 GiB,$0.0132 per Hour
t3.small,2,2 GiB,$0.0264 per Hour
t3.medium,2,4 GiB,$0.0528 per Hour
t3.large,2,8 GiB,$0.1056 per Hour
t3.xlarge,4,16 GiB,$0.2112 per Hour
t3.2xlarge,8,32 GiB,$0.4224 per Hour
t3a.nano,2,0.5 GiB,$0.0059 per Hour
t3a.micro,2,1 GiB,$0.0119 per Hour
t3a.small,2,2 GiB,$0.0238 per Hour
t3a.medium,2,4 GiB,$0.0475 per Hour
t3a.large,2,8 GiB,$0.095 per Hour
t3a.xlarge,4,16 GiB,$0.1901 per Hour
t3a.2xlarge,8,32 GiB,$0.3802 per Hour
t2.nano,1,0.5 GiB,$0.0073 per Hour
t2.micro,1,1 GiB,$0.0146 per Hour
t2.small,1,2 GiB,$0.0292 per Hour
t2.medium,2,4 GiB,$0.0584 per Hour
t2.large,2,8 GiB,$0.1168 per Hour
t2.xlarge,4,16 GiB,$0.2336 per Hour
t2.2xlarge,8,32 GiB,$0.4672 per Hour
m6g.medium,1,4 GiB,$0.048 per Hour
m6g.large,2,8 GiB,$0.096 per Hour
m6g.xlarge,4,16 GiB,$0.192 per Hour
m6g.2xlarge,8,32 GiB,$0.384 per Hour
m6g.4xlarge,16,64 GiB,$0.768 per Hour
m6g.8xlarge,32,128 GiB,$1.536 per Hour
m6g.12xlarge,48,192 GiB,$2.304 per Hour
m6g.16xlarge,64,256 GiB,$3.072 per Hour
m6g.metal,64,256 GiB,$3.072 per Hour
m6gd.medium,1,4 GiB,$0.057 per Hour
m6gd.large,2,8 GiB,$0.114 per Hour
m6gd.xlarge,4,16 GiB,$0.228 per Hour
m6gd.2xlarge,8,32 GiB,$0.456 per Hour
m6gd.4xlarge,16,64 GiB,$0.912 per Hour
m6gd.8xlarge,32,128 GiB,$1.824 per Hour
m6gd.12xlarge,48,192 GiB,$2.736 per Hour
m6gd.16xlarge,64,256 GiB,$3.648 per Hour
m6gd.metal,64,256 GiB,$3.648 per Hour
m5.large,2,8 GiB,$0.12 per Hour
m5.xlarge,4,16 GiB,$0.24 per Hour
m5.2xlarge,8,32 GiB,$0.48 per Hour
m5.4xlarge,16,64 GiB,$0.96 per Hour
m5.8xlarge,32,128 GiB,$1.92 per Hour
m5.12xlarge,48,192 GiB,$2.88 per Hour
m5.16xlarge,64,256 GiB,$3.84 per Hour
m5.24xlarge,96,384 GiB,$5.76 per Hour
m5.metal,96,384 GiB,$5.76 per Hour
m5a.large,2,8 GiB,$0.108 per Hour
m5a.xlarge,4,16 GiB,$0.216 per Hour
m5a.2xlarge,8,32 GiB,$0.432 per Hour
m5a.4xlarge,16,64 GiB,$0.864 per Hour
m5a.8xlarge,32,128 GiB,$1.728 per Hour
m5a.12xlarge,48,192 GiB,$2.592 per Hour
m5a.16xlarge,64,256 GiB,$3.456 per Hour
m5a.24xlarge,96,384 GiB,$5.184 per Hour
m5ad.large,2,8 GiB,$0.13 per Hour
m5ad.xlarge,4,16 GiB,$0.26 per Hour
m5ad.2xlarge,8,32 GiB,$0.52 per Hour
m5ad.4xlarge,16,64 GiB,$1.04 per Hour
m5ad.8xlarge,32,128 GiB,$2.08 per Hour
m5ad.12xlarge,48,192 GiB,$3.12 per Hour
m5ad.16xlarge,64,256 GiB,$4.16 per Hour
m5ad.24xlarge,96,384 GiB,$6.24 per Hour
m5d.large,2,8 GiB,$0.142 per Hour
m5d.xlarge,4,16 GiB,$0.284 per Hour
m5d.2xlarge,8,32 GiB,$0.568 per Hour
m5d.4xlarge,16,64 GiB,$1.136 per Hour
m5d.8xlarge,32,128 GiB,$2.272 per Hour
m5d.12xlarge,48,192 GiB,$3.408 per Hour
m5d.16xlarge,64,256 GiB,$4.544 per Hour
m5d.24xlarge,96,384 GiB,$6.816 per Hour
m5d.metal,96,384 GiB,$6.816 per Hour
m5zn.large,2,8 GiB,$0.2065 per Hour
m5zn.xlarge,4,16 GiB,$0.413 per Hour
m5zn.2xlarge,8,32 GiB,$0.826 per Hour
m5zn.3xlarge,12,48 GiB,$1.239 per Hour
m5zn.6xlarge,24,96 GiB,$2.478 per Hour
m5zn.12xlarge,48,192 GiB,$4.956 per Hour
m5zn.metal,48,192 GiB,$4.956 per Hour
m4.large,2,8 GiB,$0.125 per Hour
m4.xlarge,4,16 GiB,$0.25 per Hour
m4.2xlarge,8,32 GiB,$0.50 per Hour
m4.4xlarge,16,64 GiB,$1.00 per Hour
m4.10xlarge,40,160 GiB,$2.50 per Hour
m4.16xlarge,64,256 GiB,$4.00 per Hour
c6g.medium,1,2 GiB,$0.0444 per Hour
c6g.large,2,4 GiB,$0.0888 per Hour
c6g.xlarge,4,8 GiB,$0.1776 per Hour
c6g.2xlarge,8,16 GiB,$0.3552 per Hour
c6g.4xlarge,16,32 GiB,$0.7104 per Hour
c6g.8xlarge,32,64 GiB,$1.4208 per Hour
c6g.12xlarge,48,96 GiB,$2.1312 per Hour
c6g.16xlarge,64,128 GiB,$2.8416 per Hour
c6g.metal,64,128 GiB,$2.8416 per Hour
c6gd.medium,1,2 GiB,$0.0505 per Hour
c6gd.large,2,4 GiB,$0.101 per Hour
c6gd.xlarge,4,8 GiB,$0.202 per Hour
c6gd.2xlarge,8,16 GiB,$0.404 per Hour
c6gd.4xlarge,16,32 GiB,$0.808 per Hour
c6gd.8xlarge,32,64 GiB,$1.616 per Hour
c6gd.12xlarge,48,96 GiB,$2.424 per Hour
c6gd.16xlarge,64,128 GiB,$3.232 per Hour
c6gd.metal,64,128 GiB,$3.232 per Hour
c5.large,2,4 GiB,$0.111 per Hour
c5.xlarge,4,8 GiB,$0.222 per Hour
c5.2xlarge,8,16 GiB,$0.444 per Hour
c5.4xlarge,16,32 GiB,$0.888 per Hour
c5.9xlarge,36,72 GiB,$1.998 per Hour
c5.12xlarge,48,96 GiB,$2.664 per Hour
c5.18xlarge,72,144 GiB,$3.996 per Hour
c5.24xlarge,96,192 GiB,$5.328 per Hour
c5.metal,96,192 GiB,$5.328 per Hour
c5a.large,2,4 GiB,$0.10 per Hour
c5a.xlarge,4,8 GiB,$0.20 per Hour
c5a.2xlarge,8,16 GiB,$0.40 per Hour
c5a.4xlarge,16,32 GiB,$0.80 per Hour
c5a.8xlarge,32,64 GiB,$1.60 per Hour
c5a.12xlarge,48,96 GiB,$2.40 per Hour
c5a.16xlarge,64,128 GiB,$3.20 per Hour
c5a.24xlarge,96,192 GiB,$4.80 per Hour
c5ad.large,2,4 GiB,$0.113 per Hour
c5ad.xlarge,4,8 GiB,$0.226 per Hour
c5ad.2xlarge,8,16 GiB,$0.452 per Hour
c5ad.4xlarge,16,32 GiB,$0.904 per Hour
c5ad.8xlarge,32,64 GiB,$1.808 per Hour
c5ad.12xlarge,48,96 GiB,$2.712 per Hour
c5ad.16xlarge,64,128 GiB,$3.616 per Hour
c5ad.24xlarge,96,192 GiB,$5.424 per Hour
c5d.large,2,4 GiB,$0.126 per Hour
c5d.xlarge,4,8 GiB,$0.252 per Hour
c5d.2xlarge,8,16 GiB,$0.504 per Hour
c5d.4xlarge,16,32 GiB,$1.008 per Hour
c5d.9xlarge,36,72 GiB,$2.268 per Hour
c5d.12xlarge,48,96 GiB,$3.024 per Hour
c5d.18xlarge,72,144 GiB,$4.536 per Hour
c5d.24xlarge,96,192 GiB,$6.048 per Hour
c5d.metal,96,192 GiB,$6.048 per Hour
c5n.large,2,5.25 GiB,$0.141 per Hour
c5n.xlarge,4,10.5 GiB,$0.282 per Hour
c5n.2xlarge,8,21 GiB,$0.564 per Hour
c5n.4xlarge,16,42 GiB,$1.128 per Hour
c5n.9xlarge,36,96 GiB,$2.538 per Hour
c5n.18xlarge,72,192 GiB,$5.076 per Hour
c5n.metal,72,192 GiB,$5.076 per Hour
c4.large,2,3.75 GiB,$0.13 per Hour
c4.xlarge,4,7.5 GiB,$0.261 per Hour
c4.2xlarge,8,15 GiB,$0.522 per Hour
c4.4xlarge,16,30 GiB,$1.042 per Hour
c4.8xlarge,36,60 GiB,$2.085 per Hour
p3.2xlarge,8,61 GiB,$4.234 per Hour
p3.8xlarge,32,244 GiB,$16.936 per Hour
p3.16xlarge,64,488 GiB,$33.872 per Hour
p2.xlarge,4,61 GiB,$1.542 per Hour
p2.8xlarge,32,488 GiB,$12.336 per Hour
p2.16xlarge,64,732 GiB,$24.672 per Hour
g4dn.xlarge,4,16 GiB,$0.684 per Hour
g4dn.2xlarge,8,32 GiB,$0.978 per Hour
g4dn.4xlarge,16,64 GiB,$1.566 per Hour
g4dn.8xlarge,32,128 GiB,$2.83 per Hour
g4dn.12xlarge,48,192 GiB,$5.087 per Hour
g4dn.16xlarge,64,256 GiB,$5.659 per Hour
g4dn.metal,96,384 GiB,$10.174 per Hour
g3.4xlarge,16,122 GiB,$1.754 per Hour
g3.8xlarge,32,244 GiB,$3.508 per Hour
g3.16xlarge,64,488 GiB,$7.016 per Hour
g3s.xlarge,4,30.5 GiB,$1.154 per Hour
x1.16xlarge,64,976 GiB,$9.671 per Hour
x1.32xlarge,128,"1,952 GiB",$19.341 per Hour
x1e.xlarge,4,122 GiB,$1.209 per Hour
x1e.2xlarge,8,244 GiB,$2.418 per Hour
x1e.4xlarge,16,488 GiB,$4.836 per Hour
x1e.8xlarge,32,976 GiB,$9.672 per Hour
x1e.16xlarge,64,"1,952 GiB",$19.344 per Hour
x1e.32xlarge,128,"3,904 GiB",$38.688 per Hour
r6g.medium,1,8 GiB,$0.0604 per Hour
r6g.large,2,16 GiB,$0.1208 per Hour
r6g.xlarge,4,32 GiB,$0.2416 per Hour
r6g.2xlarge,8,64 GiB,$0.4832 per Hour
r6g.4xlarge,16,128 GiB,$0.9664 per Hour
r6g.8xlarge,32,256 GiB,$1.9328 per Hour
r6g.12xlarge,48,384 GiB,$2.8992 per Hour
r6g.16xlarge,64,512 GiB,$3.8656 per Hour
r6g.metal,64,512 GiB,$3.8656 per Hour
r6gd.medium,1,8 GiB,$0.0695 per Hour
r6gd.large,2,16 GiB,$0.139 per Hour
r6gd.xlarge,4,32 GiB,$0.278 per Hour
r6gd.2xlarge,8,64 GiB,$0.556 per Hour
r6gd.4xlarge,16,128 GiB,$1.112 per Hour
r6gd.8xlarge,32,256 GiB,$2.224 per Hour
r6gd.12xlarge,48,384 GiB,$3.336 per Hour
r6gd.16xlarge,64,512 GiB,$4.448 per Hour
r6gd.metal,64,512 GiB,$4.448 per Hour
r5.large,2,16 GiB,$0.151 per Hour
r5.xlarge,4,32 GiB,$0.302 per Hour
r5.2xlarge,8,64 GiB,$0.604 per Hour
r5.4xlarge,16,128 GiB,$1.208 per Hour
r5.8xlarge,32,256 GiB,$2.416 per Hour
r5.12xlarge,48,384 GiB,$3.624 per Hour
r5.16xlarge,64,512 GiB,$4.832 per Hour
r5.24xlarge,96,768 GiB,$7.248 per Hour
r5.metal,96,768 GiB,$7.248 per Hour
r5a.large,2,16 GiB,$0.136 per Hour
r5a.xlarge,4,32 GiB,$0.272 per Hour
r5a.2xlarge,8,64 GiB,$0.544 per Hour
r5a.4xlarge,16,128 GiB,$1.088 per Hour
r5a.8xlarge,32,256 GiB,$2.176 per Hour
r5a.12xlarge,48,384 GiB,$3.264 per Hour
r5a.16xlarge,64,512 GiB,$4.352 per Hour
r5a.24xlarge,96,768 GiB,$6.528 per Hour
r5ad.large,2,16 GiB,$0.159 per Hour
r5ad.xlarge,4,32 GiB,$0.318 per Hour
r5ad.2xlarge,8,64 GiB,$0.636 per Hour
r5ad.4xlarge,16,128 GiB,$1.272 per Hour
r5ad.8xlarge,32,256 GiB,$2.544 per Hour
r5ad.12xlarge,48,384 GiB,$3.816 per Hour
r5ad.16xlarge,64,512 GiB,$5.088 per Hour
r5ad.24xlarge,96,768 GiB,$7.632 per Hour
r5d.large,2,16 GiB,$0.174 per Hour
r5d.xlarge,4,32 GiB,$0.348 per Hour
r5d.2xlarge,8,64 GiB,$0.696 per Hour
r5d.4xlarge,16,128 GiB,$1.392 per Hour
r5d.8xlarge,32,256 GiB,$2.784 per Hour
r5d.12xlarge,48,384 GiB,$4.176 per Hour
r5d.16xlarge,64,512 GiB,$5.568 per Hour
r5d.24xlarge,96,768 GiB,$8.352 per Hour
r5d.metal,96,768 GiB,$8.352 per Hour
r4.large,2,15.25 GiB,$0.1596 per Hour
r4.xlarge,4,30.5 GiB,$0.3192 per Hour
r4.2xlarge,8,61 GiB,$0.6384 per Hour
r4.4xlarge,16,122 GiB,$1.2768 per Hour
r4.8xlarge,32,244 GiB,$2.5536 per Hour
r4.16xlarge,64,488 GiB,$5.1072 per Hour
z1d.large,2,16 GiB,$0.226 per Hour
z1d.xlarge,4,32 GiB,$0.452 per Hour
z1d.2xlarge,8,64 GiB,$0.904 per Hour
z1d.3xlarge,12,96 GiB,$1.356 per Hour
z1d.6xlarge,24,192 GiB,$2.712 per Hour
z1d.12xlarge,48,384 GiB,$5.424 per Hour
z1d.metal,48,384 GiB,$5.424 per Hour
i3.large,2,15.25 GiB,$0.187 per Hour
i3.xlarge,4,30.5 GiB,$0.374 per Hour
i3.2xlarge,8,61 GiB,$0.748 per Hour
i3.4xlarge,16,122 GiB,$1.496 per Hour
i3.8xlarge,32,244 GiB,$2.992 per Hour
i3.16xlarge,64,488 GiB,$5.984 per Hour
i3en.large,2,16 GiB,$0.271 per Hour
i3en.xlarge,4,32 GiB,$0.542 per Hour
i3en.2xlarge,8,64 GiB,$1.084 per Hour
i3en.3xlarge,12,96 GiB,$1.626 per Hour
i3en.6xlarge,24,192 GiB,$3.252 per Hour
i3en.12xlarge,48,384 GiB,$6.504 per Hour
i3en.24xlarge,96,768 GiB,$13.008 per Hour
i3en.metal,96,768 GiB,$13.008 per Hour
d3.xlarge,4,32 GiB,$0.626 per Hour
d3.2xlarge,8,64 GiB,$1.252 per Hour
d3.4xlarge,16,128 GiB,$2.504 per Hour
d3.8xlarge,32,256 GiB,$5.00808 per Hour
d2.xlarge,4,30.5 GiB,$0.87 per Hour
d2.2xlarge,8,61 GiB,$1.74 per Hour
d2.4xlarge,16,122 GiB,$3.48 per Hour
d2.8xlarge,36,244 GiB,$6.96 per Hour
f1.2xlarge,8,122 GiB,$1.981 per Hour
f1.4xlarge,16,244 GiB,$3.962 per Hour
f1.16xlarge,64,976 GiB,$15.848 per Hour
inf1.xlarge,4,8 GiB,$0.46 per Hour
inf1.2xlarge,8,16 GiB,$0.73 per Hour
inf1.6xlarge,24,48 GiB,$2.38 per Hour
inf1.24xlarge,96,192 GiB,$9.519 per Hour
