type,cpu,ram,price
t4g.nano,2,0.5 GiB,$0.0046 per Hour
t4g.micro,2,1 GiB,$0.0092 per Hour
t4g.small,2,2 GiB,$0.0184 per Hour
t4g.medium,2,4 GiB,$0.0368 per Hour
t4g.large,2,8 GiB,$0.0736 per Hour
t4g.xlarge,4,16 GiB,$0.1472 per Hour
t4g.2xlarge,8,32 GiB,$0.2944 per Hour
t3.nano,2,0.5 GiB,$0.0058 per Hour
t3.micro,2,1 GiB,$0.0116 per Hour
t3.small,2,2 GiB,$0.0232 per Hour
t3.medium,2,4 GiB,$0.0464 per Hour
t3.large,2,8 GiB,$0.0928 per Hour
t3.xlarge,4,16 GiB,$0.1856 per Hour
t3.2xlarge,8,32 GiB,$0.3712 per Hour
t3a.nano,2,0.5 GiB,$0.0052 per Hour
t3a.micro,2,1 GiB,$0.0104 per Hour
t3a.small,2,2 GiB,$0.0209 per Hour
t3a.medium,2,4 GiB,$0.0418 per Hour
t3a.large,2,8 GiB,$0.0835 per Hour
t3a.xlarge,4,16 GiB,$0.167 per Hour
t3a.2xlarge,8,32 GiB,$0.3341 per Hour
t2.nano,1,0.5 GiB,$0.0064 per Hour
t2.micro,1,1 GiB,$0.0128 per Hour
t2.small,1,2 GiB,$0.0256 per Hour
t2.medium,2,4 GiB,$0.0512 per Hour
t2.large,2,8 GiB,$0.1024 per Hour
t2.xlarge,4,16 GiB,$0.2048 per Hour
t2.2xlarge,8,32 GiB,$0.4096 per Hour
m6g.medium,1,4 GiB,$0.0428 per Hour
m6g.large,2,8 GiB,$0.0856 per Hour
m6g.xlarge,4,16 GiB,$0.1712 per Hour
m6g.2xlarge,8,32 GiB,$0.3424 per Hour
m6g.4xlarge,16,64 GiB,$0.6848 per Hour
m6g.8xlarge,32,128 GiB,$1.3696 per Hour
m6g.12xlarge,48,192 GiB,$2.0544 per Hour
m6g.16xlarge,64,256 GiB,$2.7392 per Hour
m6g.metal,64,256 GiB,$2.7392 per Hour
m5.large,2,8 GiB,$0.107 per Hour
m5.xlarge,4,16 GiB,$0.214 per Hour
m5.2xlarge,8,32 GiB,$0.428 per Hour
m5.4xlarge,16,64 GiB,$0.856 per Hour
m5.8xlarge,32,128 GiB,$1.712 per Hour
m5.12xlarge,48,192 GiB,$2.568 per Hour
m5.16xlarge,64,256 GiB,$3.424 per Hour
m5.24xlarge,96,384 GiB,$5.136 per Hour
m5.metal,96,384 GiB,$5.136 per Hour
m5a.large,2,8 GiB,$0.096 per Hour
m5a.xlarge,4,16 GiB,$0.192 per Hour
m5a.2xlarge,8,32 GiB,$0.384 per Hour
m5a.4xlarge,16,64 GiB,$0.768 per Hour
m5a.8xlarge,32,128 GiB,$1.536 per Hour
m5a.12xlarge,48,192 GiB,$2.304 per Hour
m5a.16xlarge,64,256 GiB,$3.072 per Hour
m5a.24xlarge,96,384 GiB,$4.608 per Hour
m5ad.large,2,8 GiB,$0.115 per Hour
m5ad.xlarge,4,16 GiB,$0.23 per Hour
m5ad.2xlarge,8,32 GiB,$0.46 per Hour
m5ad.4xlarge,16,64 GiB,$0.92 per Hour
m5ad.8xlarge,32,128 GiB,$1.84 per Hour
m5ad.12xlarge,48,192 GiB,$2.76 per Hour
m5ad.16xlarge,64,256 GiB,$3.68 per Hour
m5ad.24xlarge,96,384 GiB,$5.52 per Hour
m5d.large,2,8 GiB,$0.126 per Hour
m5d.xlarge,4,16 GiB,$0.252 per Hour
m5d.2xlarge,8,32 GiB,$0.504 per Hour
m5d.4xlarge,16,64 GiB,$1.008 per Hour
m5d.8xlarge,32,128 GiB,$2.016 per Hour
m5d.12xlarge,48,192 GiB,$3.024 per Hour
m5d.16xlarge,64,256 GiB,$4.032 per Hour
m5d.24xlarge,96,384 GiB,$6.048 per Hour
m5d.metal,96,384 GiB,$6.048 per Hour
m4.large,2,8 GiB,$0.111 per Hour
m4.xlarge,4,16 GiB,$0.222 per Hour
m4.2xlarge,8,32 GiB,$0.444 per Hour
m4.4xlarge,16,64 GiB,$0.888 per Hour
m4.10xlarge,40,160 GiB,$2.22 per Hour
m4.16xlarge,64,256 GiB,$3.552 per Hour
c6g.medium,1,2 GiB,$0.0372 per Hour
c6g.large,2,4 GiB,$0.0744 per Hour
c6g.xlarge,4,8 GiB,$0.1488 per Hour
c6g.2xlarge,8,16 GiB,$0.2976 per Hour
c6g.4xlarge,16,32 GiB,$0.5952 per Hour
c6g.8xlarge,32,64 GiB,$1.1904 per Hour
c6g.12xlarge,48,96 GiB,$1.7856 per Hour
c6g.16xlarge,64,128 GiB,$2.3808 per Hour
c6g.metal,64,128 GiB,$2.3808 per Hour
c5.large,2,4 GiB,$0.093 per Hour
c5.xlarge,4,8 GiB,$0.186 per Hour
c5.2xlarge,8,16 GiB,$0.372 per Hour
c5.4xlarge,16,32 GiB,$0.744 per Hour
c5.9xlarge,36,72 GiB,$1.674 per Hour
c5.12xlarge,48,96 GiB,$2.232 per Hour
