type,cpu,ram,price
a1.medium,1,2 GiB,$0.0291 per Hour
a1.large,2,4 GiB,$0.0582 per Hour
a1.xlarge,4,8 GiB,$0.1164 per Hour
a1.2xlarge,8,16 GiB,$0.2328 per Hour
a1.4xlarge,16,32 GiB,$0.4656 per Hour
a1.metal,16,32 GiB,$0.466 per Hour
t4g.nano,2,0.5 GiB,$0.0048 per Hour
t4g.micro,2,1 GiB,$0.0096 per Hour
t4g.small,2,2 GiB,$0.0192 per Hour
t4g.medium,2,4 GiB,$0.0384 per Hour
t4g.large,2,8 GiB,$0.0768 per Hour
t4g.xlarge,4,16 GiB,$0.1536 per Hour
t4g.2xlarge,8,32 GiB,$0.3072 per Hour
t3.nano,2,0.5 GiB,$0.006 per Hour
t3.micro,2,1 GiB,$0.012 per Hour
t3.small,2,2 GiB,$0.024 per Hour
t3.medium,2,4 GiB,$0.048 per Hour
t3.large,2,8 GiB,$0.096 per Hour
t3.xlarge,4,16 GiB,$0.192 per Hour
t3.2xlarge,8,32 GiB,$0.384 per Hour
t3a.nano,2,0.5 GiB,$0.0054 per Hour
t3a.micro,2,1 GiB,$0.0108 per Hour
t3a.small,2,2 GiB,$0.0216 per Hour
t3a.medium,2,4 GiB,$0.0432 per Hour
t3a.large,2,8 GiB,$0.0864 per Hour
t3a.xlarge,4,16 GiB,$0.1728 per Hour
t3a.2xlarge,8,32 GiB,$0.3456 per Hour
t2.nano,1,0.5 GiB,$0.0067 per Hour
t2.micro,1,1 GiB,$0.0134 per Hour
t2.small,1,2 GiB,$0.0268 per Hour
t2.medium,2,4 GiB,$0.0536 per Hour
t2.large,2,8 GiB,$0.1072 per Hour
t2.xlarge,4,16 GiB,$0.2144 per Hour
t2.2xlarge,8,32 GiB,$0.4288 per Hour
m6g.medium,1,4 GiB,$0.046 per Hour
m6g.large,2,8 GiB,$0.092 per Hour
m6g.xlarge,4,16 GiB,$0.184 per Hour
m6g.2xlarge,8,32 GiB,$0.368 per Hour
m6g.4xlarge,16,64 GiB,$0.736 per Hour
m6g.8xlarge,32,128 GiB,$1.472 per Hour
m6g.12xlarge,48,192 GiB,$2.208 per Hour
