type,cpu,ram,price
t4g.nano,2,0.5 GiB,$0.0043 per Hour
t4g.micro,2,1 GiB,$0.0086 per Hour
t4g.small,2,2 GiB,$0.0172 per Hour
t4g.medium,2,4 GiB,$0.0344 per Hour
t4g.large,2,8 GiB,$0.0688 per Hour
t4g.xlarge,4,16 GiB,$0.1376 per Hour
t4g.2xlarge,8,32 GiB,$0.2752 per Hour
t3.nano,2,0.5 GiB,$0.0054 per Hour
t3.micro,2,1 GiB,$0.0108 per Hour
t3.small,2,2 GiB,$0.0216 per Hour
t3.medium,2,4 GiB,$0.0432 per Hour
t3.large,2,8 GiB,$0.0864 per Hour
t3.xlarge,4,16 GiB,$0.1728 per Hour
t3.2xlarge,8,32 GiB,$0.3456 per Hour
m6g.medium,1,4 GiB,$0.041 per Hour
m6g.large,2,8 GiB,$0.082 per Hour
m6g.xlarge,4,16 GiB,$0.164 per Hour
m6g.2xlarge,8,32 GiB,$0.328 per Hour
m6g.4xlarge,16,64 GiB,$0.656 per Hour
m6g.8xlarge,32,128 GiB,$1.312 per Hour
m6g.12xlarge,48,192 GiB,$1.968 per Hour
m6g.16xlarge,64,256 GiB,$2.624 per Hour
m6g.metal,64,256 GiB,$2.624 per Hour
m5.large,2,8 GiB,$0.102 per Hour
m5.xlarge,4,16 GiB,$0.204 per Hour
m5.2xlarge,8,32 GiB,$0.408 per Hour
m5.4xlarge,16,64 GiB,$0.816 per Hour
m5.8xlarge,32,128 GiB,$1.632 per Hour
m5.12xlarge,48,192 GiB,$2.448 per Hour
m5.16xlarge,64,256 GiB,$3.264 per Hour
m5.24xlarge,96,384 GiB,$4.896 per Hour
m5.metal,96,384 GiB,$4.896 per Hour
m5d.large,2,8 GiB,$0.12 per Hour
m5d.xlarge,4,16 GiB,$0.24 per Hour
m5d.2xlarge,8,32 GiB,$0.48 per Hour
m5d.4xlarge,16,64 GiB,$0.96 per Hour
m5d.8xlarge,32,128 GiB,$1.92 per Hour
m5d.12xlarge,48,192 GiB,$2.88 per Hour
m5d.16xlarge,64,256 GiB,$3.84 per Hour
m5d.24xlarge,96,384 GiB,$5.76 per Hour
m5d.metal,96,384 GiB,$5.76 per Hour
c6g.medium,1,2 GiB,$0.0365 per Hour
c6g.large,2,4 GiB,$0.073 per Hour
c6g.xlarge,4,8 GiB,$0.146 per Hour
c6g.2xlarge,8,16 GiB,$0.292 per Hour
c6g.4xlarge,16,32 GiB,$0.584 per Hour
c6g.8xlarge,32,64 GiB,$1.168 per Hour
c6g.12xlarge,48,96 GiB,$1.752 per Hour
c6g.16xlarge,64,128 GiB,$2.336 per Hour
c6g.metal,64,128 GiB,$2.336 per Hour
c5.large,2,4 GiB,$0.091 per Hour
c5.xlarge,4,8 GiB,$0.182 per Hour
c5.2xlarge,8,16 GiB,$0.364 per Hour
c5.4xlarge,16,32 GiB,$0.728 per Hour
c5.9xlarge,36,72 GiB,$1.638 per Hour
c5.12xlarge,48,96 GiB,$2.184 per Hour
c5.18xlarge,72,144 GiB,$3.276 per Hour
c5.24xlarge,96,192 GiB,$4.368 per Hour
c5.metal,96,192 GiB,$4.368 per Hour
c5a.large,2,4 GiB,$0.082 per Hour
c5a.xlarge,4,8 GiB,$0.164 per Hour
c5a.2xlarge,8,16 GiB,$0.328 per Hour
c5a.4xlarge,16,32 GiB,$0.656 per Hour
c5a.8xlarge,32,64 GiB,$1.312 per Hour
c5a.12xlarge,48,96 GiB,$1.968 per Hour
c5a.16xlarge,64,128 GiB,$2.624 per Hour
c5a.24xlarge,96,192 GiB,$3.936 per Hour
c5d.large,2,4 GiB,$0.104 per Hour
c5d.xlarge,4,8 GiB,$0.208 per Hour
c5d.2xlarge,8,16 GiB,$0.416 per Hour
c5d.4xlarge,16,32 GiB,$0.832 per Hour
c5d.9xlarge,36,72 GiB,$1.872 per Hour
c5d.12xlarge,48,96 GiB,$2.496 per Hour
c5d.18xlarge,72,144 GiB,$3.744 per Hour
c5d.24xlarge,96,192 GiB,$4.992 per Hour
c5d.metal,96,192 GiB,$4.992 per Hour
c5n.large,2,5.25 GiB,$0.116 per Hour
c5n.xlarge,4,10.5 GiB,$0.232 per Hour
c5n.2xlarge,8,21 GiB,$0.464 per Hour
c5n.4xlarge,16,42 GiB,$0.928 per Hour
c5n.9xlarge,36,96 GiB,$2.088 per Hour
c5n.18xlarge,72,192 GiB,$4.176 per Hour
c5n.metal,72,192 GiB,$4.176 per Hour
g4dn.xlarge,4,16 GiB,$0.558 per Hour
g4dn.2xlarge,8,32 GiB,$0.798 per Hour
g4dn.4xlarge,16,64 GiB,$1.277 per Hour
g4dn.8xlarge,32,128 GiB,$2.308 per Hour
g4dn.12xlarge,48,192 GiB,$4.15 per Hour
g4dn.16xlarge,64,256 GiB,$4.617 per Hour
g4dn.metal,96,384 GiB,$8.30 per Hour
r6g.medium,1,8 GiB,$0.0535 per Hour
r6g.large,2,16 GiB,$0.107 per Hour
r6g.xlarge,4,32 GiB,$0.214 per Hour
r6g.2xlarge,8,64 GiB,$0.428 per Hour
r6g.4xlarge,16,128 GiB,$0.856 per Hour
r6g.8xlarge,32,256 GiB,$1.712 per Hour
r6g.12xlarge,48,384 GiB,$2.568 per Hour
r6g.16xlarge,64,512 GiB,$3.424 per Hour
r6g.metal,64,512 GiB,$3.424 per Hour
r5.large,2,16 GiB,$0.134 per Hour
r5.xlarge,4,32 GiB,$0.268 per Hour
r5.2xlarge,8,64 GiB,$0.536 per Hour
r5.4xlarge,16,128 GiB,$1.072 per Hour
r5.8xlarge,32,256 GiB,$2.144 per Hour
r5.12xlarge,48,384 GiB,$3.216 per Hour
r5.16xlarge,64,512 GiB,$4.288 per Hour
r5.24xlarge,96,768 GiB,$6.432 per Hour
r5.metal,96,768 GiB,$6.432 per Hour
r5d.large,2,16 GiB,$0.152 per Hour
r5d.xlarge,4,32 GiB,$0.304 per Hour
r5d.2xlarge,8,64 GiB,$0.608 per Hour
r5d.4xlarge,16,128 GiB,$1.216 per Hour
r5d.8xlarge,32,256 GiB,$2.432 per Hour
r5d.12xlarge,48,384 GiB,$3.648 per Hour
r5d.16xlarge,64,512 GiB,$4.864 per Hour
r5d.24xlarge,96,768 GiB,$7.296 per Hour
r5d.metal,96,768 GiB,$7.296 per Hour
i3.large,2,15.25 GiB,$0.163 per Hour
i3.xlarge,4,30.5 GiB,$0.326 per Hour
i3.2xlarge,8,61 GiB,$0.652 per Hour
i3.4xlarge,16,122 GiB,$1.304 per Hour
i3.8xlarge,32,244 GiB,$2.608 per Hour
i3.16xlarge,64,488 GiB,$5.216 per Hour
i3.metal,64,512 GiB,$5.216 per Hour
i3en.large,2,16 GiB,$0.237 per Hour
i3en.xlarge,4,32 GiB,$0.474 per Hour
i3en.2xlarge,8,64 GiB,$0.948 per Hour
i3en.3xlarge,12,96 GiB,$1.422 per Hour
i3en.6xlarge,24,192 GiB,$2.844 per Hour
i3en.12xlarge,48,384 GiB,$5.688 per Hour
i3en.24xlarge,96,768 GiB,$11.376 per Hour
i3en.metal,96,768 GiB,$11.376 per Hour
d2.xlarge,4,30.5 GiB,$0.698 per Hour
d2.2xlarge,8,61 GiB,$1.396 per Hour
d2.4xlarge,16,122 GiB,$2.792 per Hour
d2.8xlarge,36,244 GiB,$5.584 per Hour
inf1.xlarge,4,8 GiB,$0.391 per Hour
inf1.2xlarge,8,16 GiB,$0.62 per Hour
inf1.6xlarge,24,48 GiB,$2.023 per Hour
inf1.24xlarge,96,192 GiB,$8.091 per Hour
