type,cpu,ram,price
a1.medium,1,2 GiB,$0.0288 per Hour
a1.large,2,4 GiB,$0.0576 per Hour
a1.xlarge,4,8 GiB,$0.1152 per Hour
a1.2xlarge,8,16 GiB,$0.2304 per Hour
a1.4xlarge,16,32 GiB,$0.4608 per Hour
a1.metal,16,32 GiB,$0.461 per Hour
t4g.nano,2,0.5 GiB,$0.0046 per Hour
t4g.micro,2,1 GiB,$0.0092 per Hour
t4g.small,2,2 GiB,$0.0184 per Hour
t4g.medium,2,4 GiB,$0.0368 per Hour
t4g.large,2,8 GiB,$0.0736 per Hour
t4g.xlarge,4,16 GiB,$0.1472 per Hour
t4g.2xlarge,8,32 GiB,$0.2944 per Hour
t3.nano,2,0.5 GiB,$0.0057 per Hour
t3.micro,2,1 GiB,$0.0114 per Hour
t3.small,2,2 GiB,$0.0228 per Hour
t3.medium,2,4 GiB,$0.0456 per Hour
t3.large,2,8 GiB,$0.0912 per Hour
t3.xlarge,4,16 GiB,$0.1824 per Hour
t3.2xlarge,8,32 GiB,$0.3648 per Hour
t3a.nano,2,0.5 GiB,$0.0051 per Hour
t3a.micro,2,1 GiB,$0.0102 per Hour
t3a.small,2,2 GiB,$0.0204 per Hour
t3a.medium,2,4 GiB,$0.0408 per Hour
t3a.large,2,8 GiB,$0.0816 per Hour
t3a.xlarge,4,16 GiB,$0.1632 per Hour
t3a.2xlarge,8,32 GiB,$0.3264 per Hour
t2.nano,1,0.5 GiB,$0.0063 per Hour
t2.micro,1,1 GiB,$0.0126 per Hour
t2.small,1,2 GiB,$0.025 per Hour
t2.medium,2,4 GiB,$0.05 per Hour
t2.large,2,8 GiB,$0.1008 per Hour
t2.xlarge,4,16 GiB,$0.2016 per Hour
t2.2xlarge,8,32 GiB,$0.4032 per Hour
m6g.medium,1,4 GiB,$0.043 per Hour
m6g.large,2,8 GiB,$0.086 per Hour
m6g.xlarge,4,16 GiB,$0.172 per Hour
m6g.2xlarge,8,32 GiB,$0.344 per Hour
m6g.4xlarge,16,64 GiB,$0.688 per Hour
m6g.8xlarge,32,128 GiB,$1.376 per Hour
m6g.12xlarge,48,192 GiB,$2.064 per Hour
m6g.16xlarge,64,256 GiB,$2.752 per Hour
m6g.metal,64,256 GiB,$2.752 per Hour
m6gd.medium,1,4 GiB,$0.0504 per Hour
m6gd.large,2,8 GiB,$0.1008 per Hour
m6gd.xlarge,4,16 GiB,$0.2016 per Hour
m6gd.2xlarge,8,32 GiB,$0.4032 per Hour
m6gd.4xlarge,16,64 GiB,$0.8064 per Hour
m6gd.8xlarge,32,128 GiB,$1.6128 per Hour
m6gd.12xlarge,48,192 GiB,$2.4192 per Hour
m6gd.16xlarge,64,256 GiB,$3.2256 per Hour
m6gd.metal,64,256 GiB,$3.2256 per Hour
m5.large,2,8 GiB,$0.107 per Hour
m5.xlarge,4,16 GiB,$0.214 per Hour
m5.2xlarge,8,32 GiB,$0.428 per Hour
m5.4xlarge,16,64 GiB,$0.856 per Hour
m5.8xlarge,32,128 GiB,$1.712 per Hour
m5.12xlarge,48,192 GiB,$2.568 per Hour
m5.16xlarge,64,256 GiB,$3.424 per Hour
m5.24xlarge,96,384 GiB,$5.136 per Hour
m5.metal,96,384 GiB,$5.136 per Hour
m5a.large,2,8 GiB,$0.096 per Hour
m5a.xlarge,4,16 GiB,$0.192 per Hour
m5a.2xlarge,8,32 GiB,$0.384 per Hour
m5a.4xlarge,16,64 GiB,$0.768 per Hour
m5a.8xlarge,32,128 GiB,$1.536 per Hour
m5a.12xlarge,48,192 GiB,$2.304 per Hour
m5a.16xlarge,64,256 GiB,$3.072 per Hour
m5a.24xlarge,96,384 GiB,$4.608 per Hour
m5ad.large,2,8 GiB,$0.115 per Hour
m5ad.xlarge,4,16 GiB,$0.23 per Hour
m5ad.2xlarge,8,32 GiB,$0.46 per Hour
m5ad.4xlarge,16,64 GiB,$0.92 per Hour
m5ad.8xlarge,32,128 GiB,$1.84 per Hour
m5ad.12xlarge,48,192 GiB,$2.76 per Hour
m5ad.16xlarge,64,256 GiB,$3.68 per Hour
m5ad.24xlarge,96,384 GiB,$5.52 per Hour
m5d.large,2,8 GiB,$0.126 per Hour
m5d.xlarge,4,16 GiB,$0.252 per Hour
m5d.2xlarge,8,32 GiB,$0.504 per Hour
m5d.4xlarge,16,64 GiB,$1.008 per Hour
m5d.8xlarge,32,128 GiB,$2.016 per Hour
m5d.12xlarge,48,192 GiB,$3.024 per Hour
m5d.16xlarge,64,256 GiB,$4.032 per Hour
m5d.24xlarge,96,384 GiB,$6.048 per Hour
m5d.metal,96,384 GiB,$6.048 per Hour
m5dn.large,2,8 GiB,$0.152 per Hour
m5dn.xlarge,4,16 GiB,$0.304 per Hour
m5dn.2xlarge,8,32 GiB,$0.608 per Hour
m5dn.4xlarge,16,64 GiB,$1.216 per Hour
m5dn.8xlarge,32,128 GiB,$2.432 per Hour
m5dn.12xlarge,48,192 GiB,$3.648 per Hour
m5dn.16xlarge,64,256 GiB,$4.864 per Hour
m5dn.24xlarge,96,384 GiB,$7.296 per Hour
m5dn.metal,96,384 GiB,$7.296 per Hour
m5n.large,2,8 GiB,$0.133 per Hour
m5n.xlarge,4,16 GiB,$0.266 per Hour
m5n.2xlarge,8,32 GiB,$0.532 per Hour
m5n.4xlarge,16,64 GiB,$1.064 per Hour
m5n.8xlarge,32,128 GiB,$2.128 per Hour
m5n.12xlarge,48,192 GiB,$3.192 per Hour
m5n.16xlarge,64,256 GiB,$4.256 per Hour
m5n.24xlarge,96,384 GiB,$6.384 per Hour
m5n.metal,96,384 GiB,$6.384 per Hour
m5zn.large,2,8 GiB,$0.1841 per Hour
m5zn.xlarge,4,16 GiB,$0.3682 per Hour
m5zn.2xlarge,8,32 GiB,$0.7364 per Hour
m5zn.3xlarge,12,48 GiB,$1.1046 per Hour
m5zn.6xlarge,24,96 GiB,$2.2092 per Hour
m5zn.12xlarge,48,192 GiB,$4.4184 per Hour
m5zn.metal,48,192 GiB,$4.4184 per Hour
m4.large,2,8 GiB,$0.111 per Hour
m4.xlarge,4,16 GiB,$0.222 per Hour
m4.2xlarge,8,32 GiB,$0.444 per Hour
m4.4xlarge,16,64 GiB,$0.888 per Hour
m4.10xlarge,40,160 GiB,$2.22 per Hour
m4.16xlarge,64,256 GiB,$3.552 per Hour
c6g.medium,1,2 GiB,$0.0384 per Hour
c6g.large,2,4 GiB,$0.0768 per Hour
c6g.xlarge,4,8 GiB,$0.1536 per Hour
c6g.2xlarge,8,16 GiB,$0.3072 per Hour
c6g.4xlarge,16,32 GiB,$0.6144 per Hour
c6g.8xlarge,32,64 GiB,$1.2288 per Hour
c6g.12xlarge,48,96 GiB,$1.8432 per Hour
c6g.16xlarge,64,128 GiB,$2.4576 per Hour
c6g.metal,64,128 GiB,$2.4576 per Hour
c6gd.medium,1,2 GiB,$0.0436 per Hour
c6gd.large,2,4 GiB,$0.0872 per Hour
c6gd.xlarge,4,8 GiB,$0.1744 per Hour
c6gd.2xlarge,8,16 GiB,$0.3488 per Hour
c6gd.4xlarge,16,32 GiB,$0.6976 per Hour
c6gd.8xlarge,32,64 GiB,$1.3952 per Hour
c6gd.12xlarge,48,96 GiB,$2.0928 per Hour
c6gd.16xlarge,64,128 GiB,$2.7904 per Hour
c6gd.metal,64,128 GiB,$2.7904 per Hour
c6gn.medium,1,2 GiB,$0.0488 per Hour
c6gn.large,2,4 GiB,$0.0976 per Hour
c6gn.xlarge,4,8 GiB,$0.1952 per Hour
c6gn.2xlarge,8,16 GiB,$0.3904 per Hour
c6gn.4xlarge,16,32 GiB,$0.7808 per Hour
c6gn.8xlarge,32,64 GiB,$1.5616 per Hour
c6gn.12xlarge,48,96 GiB,$2.3424 per Hour
c6gn.16xlarge,64,128 GiB,$3.1232 per Hour
c5.large,2,4 GiB,$0.096 per Hour
c5.xlarge,4,8 GiB,$0.192 per Hour
c5.2xlarge,8,16 GiB,$0.384 per Hour
c5.4xlarge,16,32 GiB,$0.768 per Hour
c5.9xlarge,36,72 GiB,$1.728 per Hour
c5.12xlarge,48,96 GiB,$2.304 per Hour
c5.18xlarge,72,144 GiB,$3.456 per Hour
c5.24xlarge,96,192 GiB,$4.608 per Hour
c5.metal,96,192 GiB,$4.608 per Hour
c5a.large,2,4 GiB,$0.086 per Hour
c5a.xlarge,4,8 GiB,$0.172 per Hour
c5a.2xlarge,8,16 GiB,$0.344 per Hour
c5a.4xlarge,16,32 GiB,$0.688 per Hour
c5a.8xlarge,32,64 GiB,$1.376 per Hour
c5a.12xlarge,48,96 GiB,$2.064 per Hour
c5a.16xlarge,64,128 GiB,$2.752 per Hour
c5a.24xlarge,96,192 GiB,$4.128 per Hour
c5ad.large,2,4 GiB,$0.098 per Hour
c5ad.xlarge,4,8 GiB,$0.196 per Hour
c5ad.2xlarge,8,16 GiB,$0.392 per Hour
c5ad.4xlarge,16,32 GiB,$0.784 per Hour
c5ad.8xlarge,32,64 GiB,$1.568 per Hour
c5ad.12xlarge,48,96 GiB,$2.352 per Hour
c5ad.16xlarge,64,128 GiB,$3.136 per Hour
c5ad.24xlarge,96,192 GiB,$4.704 per Hour
c5d.large,2,4 GiB,$0.109 per Hour
c5d.xlarge,4,8 GiB,$0.218 per Hour
