type,cpu,ram,price
t4g.nano,2,0.5 GiB,$0.0067 per Hour
t4g.micro,2,1 GiB,$0.0134 per Hour
t4g.small,2,2 GiB,$0.0268 per Hour
t4g.medium,2,4 GiB,$0.0536 per Hour
t4g.large,2,8 GiB,$0.1072 per Hour
t4g.xlarge,4,16 GiB,$0.2144 per Hour
t4g.2xlarge,8,32 GiB,$0.4288 per Hour
t3.nano,2,0.5 GiB,$0.0084 per Hour
t3.micro,2,1 GiB,$0.0168 per Hour
t3.small,2,2 GiB,$0.0336 per Hour
t3.medium,2,4 GiB,$0.0672 per Hour
t3.large,2,8 GiB,$0.1344 per Hour
t3.xlarge,4,16 GiB,$0.2688 per Hour
t3.2xlarge,8,32 GiB,$0.5376 per Hour
t3a.nano,2,0.5 GiB,$0.0076 per Hour
t3a.micro,2,1 GiB,$0.0151 per Hour
t3a.small,2,2 GiB,$0.0302 per Hour
t3a.medium,2,4 GiB,$0.0605 per Hour
t3a.large,2,8 GiB,$0.121 per Hour
t3a.xlarge,4,16 GiB,$0.2419 per Hour
t3a.2xlarge,8,32 GiB,$0.4838 per Hour
t2.nano,1,0.5 GiB,$0.0093 per Hour
t2.micro,1,1 GiB,$0.0186 per Hour
t2.small,1,2 GiB,$0.0372 per Hour
t2.medium,2,4 GiB,$0.0744 per Hour
t2.large,2,8 GiB,$0.1488 per Hour
t2.xlarge,4,16 GiB,$0.2976 per Hour
t2.2xlarge,8,32 GiB,$0.5952 per Hour
m6g.medium,1,4 GiB,$0.0612 per Hour
m6g.large,2,8 GiB,$0.1224 per Hour
m6g.xlarge,4,16 GiB,$0.2448 per Hour
m6g.2xlarge,8,32 GiB,$0.4896 per Hour
m6g.4xlarge,16,64 GiB,$0.9792 per Hour
m6g.8xlarge,32,128 GiB,$1.9584 per Hour
m6g.12xlarge,48,192 GiB,$2.9376 per Hour
m6g.16xlarge,64,256 GiB,$3.9168 per Hour
m6g.metal,64,256 GiB,$3.9168 per Hour
m5.large,2,8 GiB,$0.153 per Hour
m5.xlarge,4,16 GiB,$0.306 per Hour
m5.2xlarge,8,32 GiB,$0.612 per Hour
m5.4xlarge,16,64 GiB,$1.224 per Hour
m5.8xlarge,32,128 GiB,$2.448 per Hour
m5.12xlarge,48,192 GiB,$3.672 per Hour
m5.16xlarge,64,256 GiB,$4.896 per Hour
m5.24xlarge,96,384 GiB,$7.344 per Hour
m5.metal,96,384 GiB,$7.344 per Hour
m5a.large,2,8 GiB,$0.138 per Hour
m5a.xlarge,4,16 GiB,$0.276 per Hour
m5a.2xlarge,8,32 GiB,$0.552 per Hour
m5a.4xlarge,16,64 GiB,$1.104 per Hour
m5a.8xlarge,32,128 GiB,$2.208 per Hour
m5a.12xlarge,48,192 GiB,$3.312 per Hour
m5a.16xlarge,64,256 GiB,$4.416 per Hour
m5a.24xlarge,96,384 GiB,$6.624 per Hour
m5ad.large,2,8 GiB,$0.165 per Hour
m5ad.xlarge,4,16 GiB,$0.33 per Hour
m5ad.2xlarge,8,32 GiB,$0.66 per Hour
m5ad.4xlarge,16,64 GiB,$1.32 per Hour
m5ad.8xlarge,32,128 GiB,$2.64 per Hour
m5ad.12xlarge,48,192 GiB,$3.96 per Hour
m5ad.16xlarge,64,256 GiB,$5.28 per Hour
m5ad.24xlarge,96,384 GiB,$7.92 per Hour
m5d.large,2,8 GiB,$0.18 per Hour
m5d.xlarge,4,16 GiB,$0.36 per Hour
m5d.2xlarge,8,32 GiB,$0.72 per Hour
m5d.4xlarge,16,64 GiB,$1.44 per Hour
m5d.8xlarge,32,128 GiB,$2.88 per Hour
m5d.12xlarge,48,192 GiB,$4.32 per Hour
m5d.16xlarge,64,256 GiB,$5.76 per Hour
m5d.24xlarge,96,384 GiB,$8.64 per Hour
m5d.metal,96,384 GiB,$8.64 per Hour
m5zn.large,2,8 GiB,$0.2632 per Hour
m5zn.xlarge,4,16 GiB,$0.5265 per Hour
m5zn.2xlarge,8,32 GiB,$1.053 per Hour
m5zn.3xlarge,12,48 GiB,$1.5794 per Hour
m5zn.6xlarge,24,96 GiB,$3.1589 per Hour
m5zn.12xlarge,48,192 GiB,$6.3178 per Hour
m5zn.metal,48,192 GiB,$6.3178 per Hour
m4.large,2,8 GiB,$0.159 per Hour
m4.xlarge,4,16 GiB,$0.318 per Hour
m4.2xlarge,8,32 GiB,$0.636 per Hour
m4.4xlarge,16,64 GiB,$1.272 per Hour
m4.10xlarge,40,160 GiB,$3.18 per Hour
m4.16xlarge,64,256 GiB,$5.088 per Hour
c6g.medium,1,2 GiB,$0.0524 per Hour
c6g.large,2,4 GiB,$0.1048 per Hour
c6g.xlarge,4,8 GiB,$0.2096 per Hour
c6g.2xlarge,8,16 GiB,$0.4192 per Hour
c6g.4xlarge,16,32 GiB,$0.8384 per Hour
c6g.8xlarge,32,64 GiB,$1.6768 per Hour
c6g.12xlarge,48,96 GiB,$2.5152 per Hour
c6g.16xlarge,64,128 GiB,$3.3536 per Hour
c6g.metal,64,128 GiB,$3.3536 per Hour
c5.large,2,4 GiB,$0.131 per Hour
c5.xlarge,4,8 GiB,$0.262 per Hour
c5.2xlarge,8,16 GiB,$0.524 per Hour
c5.4xlarge,16,32 GiB,$1.048 per Hour
c5.9xlarge,36,72 GiB,$2.358 per Hour
c5.12xlarge,48,96 GiB,$3.144 per Hour
c5.18xlarge,72,144 GiB,$4.716 per Hour
c5.24xlarge,96,192 GiB,$6.288 per Hour
c5.metal,96,192 GiB,$6.288 per Hour
c5a.large,2,4 GiB,$0.118 per Hour
c5a.xlarge,4,8 GiB,$0.236 per Hour
c5a.2xlarge,8,16 GiB,$0.472 per Hour
c5a.4xlarge,16,32 GiB,$0.944 per Hour
c5a.8xlarge,32,64 GiB,$1.888 per Hour
c5a.12xlarge,48,96 GiB,$2.832 per Hour
c5a.16xlarge,64,128 GiB,$3.776 per Hour
c5a.24xlarge,96,192 GiB,$5.664 per Hour
c5ad.large,2,4 GiB,$0.134 per Hour
c5ad.xlarge,4,8 GiB,$0.268 per Hour
c5ad.2xlarge,8,16 GiB,$0.536 per Hour
c5ad.4xlarge,16,32 GiB,$1.072 per Hour
c5ad.8xlarge,32,64 GiB,$2.144 per Hour
c5ad.12xlarge,48,96 GiB,$3.216 per Hour
c5ad.16xlarge,64,128 GiB,$4.288 per Hour
c5ad.24xlarge,96,192 GiB,$6.432 per Hour
c5d.large,2,4 GiB,$0.149 per Hour
c5d.xlarge,4,8 GiB,$0.298 per Hour
c5d.2xlarge,8,16 GiB,$0.596 per Hour
c5d.4xlarge,16,32 GiB,$1.192 per Hour
c5d.9xlarge,36,72 GiB,$2.682 per Hour
c5d.12xlarge,48,96 GiB,$3.576 per Hour
c5d.18xlarge,72,144 GiB,$5.364 per Hour
c5d.24xlarge,96,192 GiB,$7.152 per Hour
c5d.metal,96,192 GiB,$7.152 per Hour
c5n.large,2,5.25 GiB,$0.166 per Hour
c5n.xlarge,4,10.5 GiB,$0.332 per Hour
c5n.2xlarge,8,21 GiB,$0.664 per Hour
c5n.4xlarge,16,42 GiB,$1.328 per Hour
c5n.9xlarge,36,96 GiB,$2.988 per Hour
c5n.18xlarge,72,192 GiB,$5.976 per Hour
c5n.metal,72,192 GiB,$5.976 per Hour
c4.large,2,3.75 GiB,$0.155 per Hour
c4.xlarge,4,7.5 GiB,$0.309 per Hour
c4.2xlarge,8,15 GiB,$0.618 per Hour
c4.4xlarge,16,30 GiB,$1.235 per Hour
c4.8xlarge,36,60 GiB,$2.47 per Hour
g4dn.xlarge,4,16 GiB,$0.894 per Hour
g4dn.2xlarge,8,32 GiB,$1.278 per Hour
g4dn.4xlarge,16,64 GiB,$2.046 per Hour
g4dn.8xlarge,32,128 GiB,$3.698 per Hour
g4dn.12xlarge,48,192 GiB,$6.649 per Hour
g4dn.16xlarge,64,256 GiB,$7.397 per Hour
g4dn.metal,96,384 GiB,$13.298 per Hour
x1.16xlarge,64,976 GiB,$13.005 per Hour
x1.32xlarge,128,"1,952 GiB",$26.01 per Hour
x1e.xlarge,4,122 GiB,$1.626 per Hour
x1e.2xlarge,8,244 GiB,$3.251 per Hour
x1e.4xlarge,16,488 GiB,$6.502 per Hour
x1e.8xlarge,32,976 GiB,$13.005 per Hour
x1e.16xlarge,64,"1,952 GiB",$26.01 per Hour
x1e.32xlarge,128,"3,904 GiB",$52.019 per Hour
r6g.medium,1,8 GiB,$0.0804 per Hour
r6g.large,2,16 GiB,$0.1608 per Hour
