type,cpu,ram,price
t4g.nano,2,0.5 GiB,$0.005 per Hour
t4g.micro,2,1 GiB,$0.01 per Hour
t4g.small,2,2 GiB,$0.02 per Hour
t4g.medium,2,4 GiB,$0.04 per Hour
t4g.large,2,8 GiB,$0.08 per Hour
t4g.xlarge,4,16 GiB,$0.16 per Hour
t4g.2xlarge,8,32 GiB,$0.32 per Hour
t3.nano,2,0.5 GiB,$0.0062 per Hour
t3.micro,2,1 GiB,$0.0124 per Hour
t3.small,2,2 GiB,$0.0248 per Hour
t3.medium,2,4 GiB,$0.0496 per Hour
t3.large,2,8 GiB,$0.0992 per Hour
t3.xlarge,4,16 GiB,$0.1984 per Hour
t3.2xlarge,8,32 GiB,$0.3968 per Hour
t3a.nano,2,0.5 GiB,$0.0056 per Hour
t3a.micro,2,1 GiB,$0.0112 per Hour
t3a.small,2,2 GiB,$0.0223 per Hour
t3a.medium,2,4 GiB,$0.0446 per Hour
t3a.large,2,8 GiB,$0.0893 per Hour
t3a.xlarge,4,16 GiB,$0.1786 per Hour
t3a.2xlarge,8,32 GiB,$0.3571 per Hour
t2.nano,1,0.5 GiB,$0.0069 per Hour
t2.micro,1,1 GiB,$0.0138 per Hour
t2.small,1,2 GiB,$0.0276 per Hour
t2.medium,2,4 GiB,$0.0552 per Hour
t2.large,2,8 GiB,$0.1104 per Hour
t2.xlarge,4,16 GiB,$0.2208 per Hour
t2.2xlarge,8,32 GiB,$0.4416 per Hour
m6g.medium,1,4 GiB,$0.0448 per Hour
m6g.large,2,8 GiB,$0.0896 per Hour
m6g.xlarge,4,16 GiB,$0.1792 per Hour
m6g.2xlarge,8,32 GiB,$0.3584 per Hour
m6g.4xlarge,16,64 GiB,$0.7168 per Hour
m6g.8xlarge,32,128 GiB,$1.4336 per Hour
m6g.12xlarge,48,192 GiB,$2.1504 per Hour
m6g.16xlarge,64,256 GiB,$2.8672 per Hour
m6g.metal,64,256 GiB,$2.8672 per Hour
m6gd.medium,1,4 GiB,$0.053 per Hour
m6gd.large,2,8 GiB,$0.106 per Hour
m6gd.xlarge,4,16 GiB,$0.212 per Hour
m6gd.2xlarge,8,32 GiB,$0.424 per Hour
m6gd.4xlarge,16,64 GiB,$0.848 per Hour
m6gd.8xlarge,32,128 GiB,$1.696 per Hour
m6gd.12xlarge,48,192 GiB,$2.544 per Hour
m6gd.16xlarge,64,256 GiB,$3.392 per Hour
m6gd.metal,64,256 GiB,$3.392 per Hour
m5.large,2,8 GiB,$0.112 per Hour
m5.xlarge,4,16 GiB,$0.224 per Hour
m5.2xlarge,8,32 GiB,$0.448 per Hour
m5.4xlarge,16,64 GiB,$0.896 per Hour
m5.8xlarge,32,128 GiB,$1.792 per Hour
m5.12xlarge,48,192 GiB,$2.688 per Hour
m5.16xlarge,64,256 GiB,$3.584 per Hour
m5.24xlarge,96,384 GiB,$5.376 per Hour
m5.metal,96,384 GiB,$5.376 per Hour
m5a.large,2,8 GiB,$0.101 per Hour
m5a.xlarge,4,16 GiB,$0.202 per Hour
m5a.2xlarge,8,32 GiB,$0.404 per Hour
m5a.4xlarge,16,64 GiB,$0.808 per Hour
m5a.8xlarge,32,128 GiB,$1.616 per Hour
m5a.12xlarge,48,192 GiB,$2.424 per Hour
m5a.16xlarge,64,256 GiB,$3.232 per Hour
m5a.24xlarge,96,384 GiB,$4.848 per Hour
m5ad.large,2,8 GiB,$0.122 per Hour
m5ad.xlarge,4,16 GiB,$0.244 per Hour
m5ad.2xlarge,8,32 GiB,$0.488 per Hour
m5ad.4xlarge,16,64 GiB,$0.976 per Hour
m5ad.8xlarge,32,128 GiB,$1.952 per Hour
m5ad.12xlarge,48,192 GiB,$2.928 per Hour
m5ad.16xlarge,64,256 GiB,$3.904 per Hour
m5ad.24xlarge,96,384 GiB,$5.856 per Hour
m5d.large,2,8 GiB,$0.133 per Hour
m5d.xlarge,4,16 GiB,$0.266 per Hour
m5d.2xlarge,8,32 GiB,$0.532 per Hour
m5d.4xlarge,16,64 GiB,$1.064 per Hour
m5d.8xlarge,32,128 GiB,$2.128 per Hour
m5d.12xlarge,48,192 GiB,$3.192 per Hour
m5d.16xlarge,64,256 GiB,$4.256 per Hour
m5d.24xlarge,96,384 GiB,$6.384 per Hour
m5d.metal,96,384 GiB,$6.384 per Hour
m5zn.large,2,8 GiB,$0.1927 per Hour
m5zn.xlarge,4,16 GiB,$0.3854 per Hour
m5zn.2xlarge,8,32 GiB,$0.7708 per Hour
m5zn.3xlarge,12,48 GiB,$1.1562 per Hour
m5zn.6xlarge,24,96 GiB,$2.3124 per Hour
m5zn.12xlarge,48,192 GiB,$4.6248 per Hour
m5zn.metal,48,192 GiB,$4.6248 per Hour
m4.large,2,8 GiB,$0.117 per Hour
m4.xlarge,4,16 GiB,$0.234 per Hour
m4.2xlarge,8,32 GiB,$0.468 per Hour
m4.4xlarge,16,64 GiB,$0.936 per Hour
m4.10xlarge,40,160 GiB,$2.34 per Hour
m4.16xlarge,64,256 GiB,$3.744 per Hour
c6g.medium,1,2 GiB,$0.0424 per Hour
c6g.large,2,4 GiB,$0.0848 per Hour
c6g.xlarge,4,8 GiB,$0.1696 per Hour
c6g.2xlarge,8,16 GiB,$0.3392 per Hour
c6g.4xlarge,16,32 GiB,$0.6784 per Hour
c6g.8xlarge,32,64 GiB,$1.3568 per Hour
c6g.12xlarge,48,96 GiB,$2.0352 per Hour
c6g.16xlarge,64,128 GiB,$2.7136 per Hour
c6g.metal,64,128 GiB,$2.7136 per Hour
c6gd.medium,1,2 GiB,$0.048 per Hour
c6gd.large,2,4 GiB,$0.096 per Hour
c6gd.xlarge,4,8 GiB,$0.192 per Hour
c6gd.2xlarge,8,16 GiB,$0.384 per Hour
c6gd.4xlarge,16,32 GiB,$0.768 per Hour
c6gd.8xlarge,32,64 GiB,$1.536 per Hour
c6gd.12xlarge,48,96 GiB,$2.304 per Hour
c6gd.16xlarge,64,128 GiB,$3.072 per Hour
c6gd.metal,64,128 GiB,$3.072 per Hour
c5.large,2,4 GiB,$0.106 per Hour
c5.xlarge,4,8 GiB,$0.212 per Hour
c5.2xlarge,8,16 GiB,$0.424 per Hour
c5.4xlarge,16,32 GiB,$0.848 per Hour
c5.9xlarge,36,72 GiB,$1.908 per Hour
c5.12xlarge,48,96 GiB,$2.544 per Hour
c5.18xlarge,72,144 GiB,$3.816 per Hour
c5.24xlarge,96,192 GiB,$5.088 per Hour
c5.metal,96,192 GiB,$5.088 per Hour
c5a.large,2,4 GiB,$0.095 per Hour
c5a.xlarge,4,8 GiB,$0.19 per Hour
c5a.2xlarge,8,16 GiB,$0.38 per Hour
c5a.4xlarge,16,32 GiB,$0.76 per Hour
c5a.8xlarge,32,64 GiB,$1.52 per Hour
c5a.12xlarge,48,96 GiB,$2.28 per Hour
c5a.16xlarge,64,128 GiB,$3.04 per Hour
c5a.24xlarge,96,192 GiB,$4.56 per Hour
c5d.large,2,4 GiB,$0.12 per Hour
c5d.xlarge,4,8 GiB,$0.24 per Hour
c5d.2xlarge,8,16 GiB,$0.48 per Hour
c5d.4xlarge,16,32 GiB,$0.96 per Hour
c5d.9xlarge,36,72 GiB,$2.16 per Hour
c5d.12xlarge,48,96 GiB,$2.88 per Hour
c5d.18xlarge,72,144 GiB,$4.32 per Hour
c5d.24xlarge,96,192 GiB,$5.76 per Hour
c5d.metal,96,192 GiB,$5.76 per Hour
c5n.large,2,5.25 GiB,$0.135 per Hour
c5n.xlarge,4,10.5 GiB,$0.27 per Hour
c5n.2xlarge,8,21 GiB,$0.54 per Hour
c5n.4xlarge,16,42 GiB,$1.08 per Hour
c5n.9xlarge,36,96 GiB,$2.43 per Hour
c5n.18xlarge,72,192 GiB,$4.86 per Hour
c5n.metal,72,192 GiB,$4.86 per Hour
c4.large,2,3.75 GiB,$0.124 per Hour
c4.xlarge,4,7.5 GiB,$0.249 per Hour
c4.2xlarge,8,15 GiB,$0.498 per Hour
c4.4xlarge,16,30 GiB,$0.997 per Hour
c4.8xlarge,36,60 GiB,$1.993 per Hour
g4dn.xlarge,4,16 GiB,$0.631 per Hour
g4dn.2xlarge,8,32 GiB,$0.902 per Hour
g4dn.4xlarge,16,64 GiB,$1.445 per Hour
g4dn.8xlarge,32,128 GiB,$2.611 per Hour
g4dn.12xlarge,48,192 GiB,$4.694 per Hour
g4dn.16xlarge,64,256 GiB,$5.222 per Hour
g4dn.metal,96,384 GiB,$9.389 per Hour
g3.4xlarge,16,122 GiB,$1.534 per Hour
g3.8xlarge,32,244 GiB,$3.068 per Hour
